,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour45,0.026235693,0.003737606,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.047841558,0.010465296,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.061731043,0.014576662,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.424413944,0.424413944,0.424413944,0.058681558,0.097225343,0.142524672
Hour46,0.009768193,0.001724651,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812588,0.004829024,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022983984,0.00672614,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.233361351,0.233361351,0.233361351,0.021062265,0.035614441,0.051782447
Hour47,0.008387929,0.001724651,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295635,0.004829024,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736303,0.00672614,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.206723556,0.206723556,0.206723556,0.01489729,0.026611073,0.037498605
Hour48,0.00804619,0.001407322,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0.0039405,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.005488554,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.201533705,0.201533705,0.201533705,0.014238221,0.025099378,0.035456926
Hour49,0.00804619,0.001212819,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672463,0.003395894,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.004729995,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199582362,0.199582362,0.199582362,0.014043719,0.024554772,0.034698367
Hour50,0.00804619,0.000685786,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672463,0.001920202,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.002674567,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.19430571,0.19430571,0.19430571,0.013516686,0.02307908,0.032642939
Hour51,0.00804619,0.00149081,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672463,0.004174269,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0.005814161,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.202349629,0.202349629,0.202349629,0.01432171,0.025333147,0.035782533
Hour52,0.008387929,0.001600398,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295635,0.004481115,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736303,0.006241553,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.205449416,0.205449416,0.205449416,0.014773037,0.026263165,0.037014017
Hour53,0.009290458,0.000139163,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.016941424,0.000389658,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.021859902,0.000542737,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.214652013,0.214652013,0.214652013,0.018999042,0.030303911,0.044474962
Hour54,0.011738032,0.00481547,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.021404647,0.013483315,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.027618899,0.018780332,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.275806248,0.275806248,0.275806248,0.026122922,0.047860792,0.068471553
Hour55,0.01922243,0.003717049,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.035052666,0.010407736,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.045229246,0.01449649,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.382890664,0.382890664,0.382890664,0.051647738,0.08437889,0.125942703
Hour56,0.039053023,0.00463549,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071214335,0.012979371,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.091889465,0.01807841,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.73086654,0.73086654,0.73086654,0.129813289,0.20094917,0.308618774
