,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT,,,,,,,,,,,
Hour40,0.037621107,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068603195,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088520251,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.62591574,0.62591574,0.62591574,0.117978599,0.168697615,0.255771491,,79.6682259,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour41,0.038999333,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.071116431,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.091763136,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.634016631,0.634016631,0.634016631,0.119356825,0.171210851,0.259014377,,82.5868224,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour42,0.035090428,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.063988428,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.082565713,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.551207879,0.551207879,0.551207879,0.0975907,0.141839643,0.212650011,,74.3091417,0,0,0,26.9139924,22.8768939,22.4283276,0,0,44.8566543
Hour43,0.027641228,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.050404593,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.065038184,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.44757386,0.44757386,0.44757386,0.072284279,0.106012603,0.157955539,,58.5343656,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
Hour44,0.026191019,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.047760093,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.061625927,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.439036895,0.439036895,0.439036895,0.07083407,0.103368104,0.154543281,,55.4633343,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
Hour45,0.019938238,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.036357963,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.0469135,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.342440637,0.342440637,0.342440637,0.046724069,0.06972277,0.102663915,,42.22215,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour46,0.018439197,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.033624417,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.043386345,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.333616426,0.333616426,0.333616426,0.045225028,0.066989225,0.099136759,,39.0477105,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour47,0.009768196,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.222795347,0.222795347,0.222795347,0.018696807,0.028934195,0.041567462,,20.6855919,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour48,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199717602,0.199717602,0.199717602,0.012852237,0.020856441,0.029028045,,17.7626781,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour49,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197701051,0.197701051,0.197701051,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
