,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour38,0.039477316,0.011724796,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071988047,0.032829428,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092887803,0.045726703,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.790410595,0.790410595,0.790410595,0.137326889,0.221572939,0.337265404
Hour39,0.039579682,0.016175272,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072174713,0.04529076,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093128662,0.063083559,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.835511181,0.835511181,0.835511181,0.14187973,0.234220937,0.35486312
Hour40,0.041025458,0.020070205,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.07481113,0.056196573,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.09653049,0.078273798,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.882958761,0.882958761,0.882958761,0.14722044,0.247763167,0.373455187
Hour41,0.037581177,0.013999393,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.068530381,0.039198302,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.088426299,0.054597634,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.727934765,0.727934765,0.727934765,0.118566507,0.198538488,0.297530187
Hour42,0.031994849,0.005757413,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.058343548,0.016120755,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075281998,0.022453909,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.538598801,0.538598801,0.538598801,0.085599359,0.139328449,0.208097516
Hour43,0.032667353,0.004522733,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.059569879,0.012663652,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.07686436,0.017638658,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.530201587,0.530201587,0.530201587,0.085037183,0.137097676,0.204864627
Hour44,0.028999207,0.004017566,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.052880907,0.011249186,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.068233429,0.015668509,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.429517196,0.429517196,0.429517196,0.061725033,0.103048582,0.150118905
Hour45,0.028566132,0.003919558,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.052091182,0.010974761,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.067214428,0.015286275,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.425983286,0.425983286,0.425983286,0.061193949,0.101984432,0.14871767
Hour46,0.009768193,0.00162477,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812587,0.004549356,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022983983,0.006336603,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.218403893,0.218403893,0.218403893,0.020962383,0.035334772,0.051392909
Hour47,0.008387928,0.001552937,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295634,0.004348224,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736301,0.006056454,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.191047766,0.191047766,0.191047766,0.014725575,0.026130272,0.036828917
Hour48,0.010576022,0.001466092,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.019285688,0.004105057,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.024884758,0.005717758,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.203044136,0.203044136,0.203044136,0.016826824,0.02987716,0.041638678
Hour49,0.008046189,0.001353114,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.003788719,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.005277144,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.187026661,0.187026661,0.187026661,0.014184013,0.024947596,0.035245515
Hour50,0.008046189,4.82495E-05,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.000135099,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0.000188173,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.173971697,0.173971697,0.173971697,0.012879148,0.021293976,0.030156544
Hour51,0.008046189,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.17348288,0.17348288,0.17348288,0.012830899,0.021158877,0.029968371
Hour52,0.008387928,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736301,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.175486787,0.175486787,0.175486787,0.013172638,0.021782048,0.030772463
Hour53,0.009768228,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812651,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022984066,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.202112149,0.202112149,0.202112149,0.019337648,0.030785481,0.045056389
Hour54,0.023089377,0.005020627,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.042104158,0.014057755,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.054327945,0.019580444,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.330671791,0.330671791,0.330671791,0.037679423,0.069134742,0.095980712
Hour55,0.025328248,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.046186806,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.059595878,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.404479579,0.404479579,0.404479579,0.057716654,0.095409703,0.140165416
Hour56,0.041385402,0.005025138,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.075467498,0.014070386,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.097377416,0.019598037,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.734524257,0.734524257,0.734524257,0.132535316,0.206293347,0.315626352
Hour57,0.041070968,0.005726013,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074894119,0.016032835,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.096637573,0.022331449,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.739677074,0.739677074,0.739677074,0.132921758,0.207682418,0.31761992
Hour58,0.039492578,0.006407912,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072015878,0.017942153,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092923714,0.024990856,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.737205098,0.737205098,0.737205098,0.132025267,0.206713495,0.316565468
Hour59,0.039248051,0.007064969,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071569975,0.019781913,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092348355,0.027553378,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.742330947,0.742330947,0.742330947,0.132437796,0.208107351,0.318552631
Hour60,0.037831473,0.006424327,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.068986804,0.017988116,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.089015231,0.025054875,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.727585398,0.727585398,0.727585398,0.130380577,0.203730383,0.312721005
Hour61,0.039118252,0.007148766,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071333283,0.020016544,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092042946,0.027880186,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.74239275,0.74239275,0.74239275,0.132391794,0.20810529,0.31857403
Hour62,0.039115772,0.007381017,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.07132876,0.020666847,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.09203711,0.028785966,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.74469435,0.74469435,0.74469435,0.132621565,0.208751071,0.319473974
Hour63,0.039196665,0.008160057,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071476271,0.02284816,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092227446,0.031824223,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.752954273,0.752954273,0.752954273,0.133481498,0.211079894,0.322702568
Hour64,0.040625176,0.008298695,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074081203,0.023236346,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095588649,0.03236491,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.762737334,0.762737334,0.762737334,0.135048647,0.214073012,0.326604457
Hour65,0.037479791,0.007037315,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.0683455,0.019704481,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.088187742,0.027445527,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.657565861,0.657565861,0.657565861,0.111503042,0.178859786,0.270139523
Hour66,0.032288181,0.005210449,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.058878448,0.014589258,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075972192,0.020320752,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.534702928,0.534702928,0.534702928,0.085345728,0.138331852,0.206654553
Hour67,0.033101606,0.004432761,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.060361752,0.012411731,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.077886131,0.017287768,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.531704572,0.531704572,0.531704572,0.085381464,0.137637628,0.205535508
Hour68,0.028730421,0.003887239,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.052390768,0.010884269,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.067600991,0.015160232,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.426481103,0.426481103,0.426481103,0.061325919,0.102193525,0.14897819
Hour69,0.027851486,0.003767999,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.050788004,0.010550397,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.065532908,0.014695196,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.420112173,0.420112173,0.420112173,0.060327744,0.100256889,0.146445071
Hour70,0.009768193,0.001203169,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812587,0.003368874,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022983983,0.004692361,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.214036162,0.214036162,0.214036162,0.020540782,0.034154291,0.049748666
Hour71,0.008387928,0.000586384,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295634,0.001641875,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736301,0.002286898,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.181230512,0.181230512,0.181230512,0.013759022,0.023423923,0.03305936
Hour72,0.008046189,9.94024E-05,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.000278327,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0.000387669,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.174344145,0.174344145,0.174344145,0.012930301,0.021437204,0.03035604
Hour73,0.008046189,0.001590748,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.004454095,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0.006203919,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.189251283,0.189251283,0.189251283,0.014421647,0.025612973,0.036172289
Hour74,0.008046189,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.173337477,0.173337477,0.173337477,0.012830899,0.021158877,0.029968371
Hour75,0.008046189,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.01893221,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.173331155,0.173331155,0.173331155,0.012830899,0.021158877,0.029968371
Hour76,0.008387928,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736302,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.175335064,0.175335064,0.175335064,0.013172638,0.021782048,0.030772463
