,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour46,0.012298642,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.022426936,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.028937982,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.27743508,0.27743508,0.27743508,0.041006902,0.061345425,0.095154949
Hour47,0.007814556,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250074,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387192,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.1770027,0.1770027,0.1770027,0.017383976,0.027222903,0.040459514
Hour48,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789047,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.151988744,0.151988744,0.151988744,0.011495055,0.018722926,0.026825208
Hour49,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150374239,0.150374239,0.150374239,0.011221663,0.018224389,0.026181934
Hour50,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150367917,0.150367917,0.150367917,0.011221663,0.018224389,0.026181934
Hour51,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150361596,0.150361596,0.150361596,0.011221663,0.018224389,0.026181934
Hour52,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150355273,0.150355273,0.150355273,0.011221663,0.018224389,0.026181934
Hour53,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789047,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.151957135,0.151957135,0.151957135,0.011495055,0.018722926,0.026825208
Hour54,0.007814586,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387262,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.176958622,0.176958622,0.176958622,0.017384006,0.027222957,0.040459584
Hour55,0.009317491,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.016990719,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.021923508,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185792915,0.185792915,0.185792915,0.018886911,0.029963548,0.04399583
Hour56,0.011132143,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.020299789,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.026193276,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.270510097,0.270510097,0.270510097,0.039840402,0.059218278,0.092410244
Hour57,0.023392426,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.042656777,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.055041003,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.56477033,0.56477033,0.56477033,0.109517203,0.159412241,0.253691901
Hour58,0.022574733,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.04116569,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.053117019,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.559954049,0.559954049,0.559954049,0.10869951,0.157921153,0.251767918
Hour59,0.021511912,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039227604,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050616264,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553695839,0.553695839,0.553695839,0.107636689,0.155983068,0.249267162
Hour60,0.02388422,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.043553577,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.056198164,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.567644268,0.567644268,0.567644268,0.110008996,0.160309041,0.254849063
Hour61,0.024632074,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.044917311,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.05795782,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.572037087,0.572037087,0.572037087,0.11075685,0.161672774,0.256608719
Hour62,0.026845494,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.048953547,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.063165867,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.585050882,0.585050882,0.585050882,0.11297027,0.165709011,0.261816766
Hour63,0.026982774,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.049203882,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.06348888,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.585852093,0.585852093,0.585852093,0.113107551,0.165959346,0.262139779
Hour64,0.026332143,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.048017437,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.061957983,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.582018527,0.582018527,0.582018527,0.112456919,0.1647729,0.260608881
