Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
5,16,0.090920637,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373283331,0.631455209,0.626121609,,335.9549979
5,17,0.083791847,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.339941893,0.553818038,0.561602868,,305.9477037
5,18,0.061560286,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.283946301,0.438423942,0.378060367,,255.5516709
5,19,0.047609264,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.263013445,0.403540064,0.453008312,,236.7121005
5,20,0.03777375,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.225611923,0.319136087,0.351269513,,203.0507307
5,21,0.036166047,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.223194049,0.31511051,0.288913217,,200.8746441
5,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180772711,0.222340173,0.237419369,,162.6954399
5,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170234383,0.199262428,0.183031528,,153.2109447
6,0,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164103431,0.189048389,0.217077881,,147.6930879
6,1,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164097108,0.189042066,0.185981002,,147.6873972
6,2,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164090787,0.189035745,0.180854794,,147.6817083
6,3,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164084465,0.189029423,0.204865141,,147.6760185
6,4,0.016457314,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.165284281,0.191033331,0.163117596,,148.7558529
6,5,0.018065586,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167690368,0.19504769,0.179535325,,150.9213312
6,6,0.02524023,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.184106495,0.227930196,0.253447021,,165.6958455
6,7,0.027989799,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.188224527,0.234797797,0.203772698,,169.4020743
